"SMILES","CASRN","MOLECULEID","EXTERNALID","N","NAME","NAME","ARTICLEID","PUBMEDID","PAGE","TABLE","logPow {measured}","UNIT {logPow}","logPow {measured, converted}","UNIT {logPow}","pH","UNIT {pH}"
"COC(=O)C1=C(NC(NC(=O)C2=CC=CN=C2)(C(F)(F)F)C(F)(F)F)SC2=C1CCCCC2","-","M1020857","ZINC00721280","156","-","-","A27772","23131797","-","2","5.75","Log unit","5.75","Log unit","= 6.5","Log unit"
"CC1(C)CC(=O)C2=C(C1)OC(N)=C(C#N)[C@H]2C1=C2C=CC=CC2=CC2=CC=CC=C12","-","M1020872","ZINC00728578","157","-","-","A27772","23131797","-","2","4.99","Log unit","4.99","Log unit","= 10.5","Log unit"
"COC1=CC=CC=C1NC1=NC(OCC(F)(F)F)=NC(OCC(F)(F)F)=N1","-","M725014","ZINC00752157","168","-","-","A27772","23131797","-","2","5.27","Log unit","5.27","Log unit","5.0","Log unit"
"CC[C@H](C(=O)N1CCCN(CC1)C(=O)[C@@H](CC)C1=CC=CC=C1)C1=CC=CC=C1","-","M1020922","ZINC00758004","169","-","-","A27772","23131797","-","2","4.93","Log unit","4.93","Log unit","5.0","Log unit"
"CCC(=O)N1N=C(C[C@@H]1C1=CC=CC(OC)=C1OC)C1=CC=C(C=C1)C1=NN([C@H](C1)C1=CC=CC(OC)=C1OC)C(=O)CC","-","M3410236","ZINC00777912","170","-","-","A27772","23131797","-","2","6.65","Log unit","6.65","Log unit","= 7.3","Log unit"
"COC1=CC=C(C=C1OC)N1C(=O)C[C@@H](SC2=NC(C)=CC(C)=N2)C1=O","-","M3410237","ZINC18181539","172","-","-","A27772","23131797","-","2","2.95","Log unit","2.95","Log unit","= 10.5","Log unit"
"CC1=CC=C(C=C1)S(=O)(=O)N(CCO)CC1=CC=CC=C1","-","M1019961","ZINC00293278","173","-","-","A27772","23131797","-","2","3.69","Log unit","3.69","Log unit","5.0","Log unit"
"CC1=CC=C(C=C1C)N1C(=O)C2=CC3=C(C=C2C1=O)C(=O)N(C3=O)C1=CC=C(C)C(C)=C1","-","M1020979","ZINC00808563","174","-","-","A27772","23131797","-","2","4.83","Log unit","4.83","Log unit","5.0","Log unit"
"CC1=CC=C(C=C1)C1=NC2=C(C=NN2C(=C1)C(F)F)C(=O)N1CCSCC1","-","M1020987","ZINC00815319","175","-","-","A27772","23131797","-","2","4.55","Log unit","4.55","Log unit","5.0","Log unit"
"FC(F)(F)C1=CC=CC=C1N1C(=O)C2=CC=CC=C2C1=O","-","M1019879","ZINC00251749","177","-","-","A27772","23131797","-","2","3.55","Log unit","3.55","Log unit","5.0","Log unit"
"COC(=O)C1=C(N[C@@H](NC(C)=O)C(Cl)(Cl)Cl)SC2=C1CCCC2","-","M1020997","ZINC00822179","178","-","-","A27772","23131797","-","2","5.04","Log unit","5.04","Log unit","= 8.0","Log unit"
"CCCS(=O)(=O)C1=C(N2C=CC3=CC=CC=C3C2=C1S(=O)(=O)CCC)C(=O)C1=CC=CC=C1","-","M1021011","ZINC00826061","179","-","-","A27772","23131797","-","2","4.48","Log unit","4.48","Log unit","5.0","Log unit"
"O=C(NC1CCCC1)C1C2=CC=CC=C2OC2=CC=CC=C12","-","M1018960","ZINC00030240","180","-","-","A27772","23131797","-","2","3.95","Log unit","3.95","Log unit","5.0","Log unit"
"COC(=O)C1=C(NC(=O)CN2N=C(C)C(=C2C)[N+]([O-])=O)SC2=C1CC[C@@H](C2)C(C)(C)C","-","M1153921","ZINC00845130","182","-","-","A27772","23131797","-","2","6.53","Log unit","6.53","Log unit","5.0","Log unit"
"CCC1=CC=C(OCC(=O)NCCC2=CC=C(OC)C(OC)=C2)C=C1","-","M1021087","ZINC00859208","183","-","-","A27772","23131797","-","2","4.22","Log unit","4.22","Log unit","5.0","Log unit"
"COC1=CC=C(C=C1)[C@H]1CC(=O)C2=C(C1)NC1=C([C@@H]2C2=CC=C3OCOC3=C2)C2=CC=CC=C2C=C1","-","M1021090","ZINC00861016","184","-","-","A27772","23131797","-","2","5.77","Log unit","5.77","Log unit","5.0","Log unit"
"O=C(NC1=CC=C2OCOC2=C1)\C=C\C1=CC2=C(OCO2)C=C1","-","M1019063","ZINC00045256","185","-","-","A27772","23131797","-","2","3.72","Log unit","3.72","Log unit","= 2.0","Log unit"
"CC(=O)OC1=CC(=CC=C1)N1C(=O)C2=CC=C(C=C2C1=O)C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC(OC(C)=O)=CC=C1","-","M420206","ZINC00894471","186","-","-","A27772","23131797","-","2","5.13","Log unit","5.13","Log unit","5.0","Log unit"
"CC1=CC=C(NC(=O)CSC2=NN=C(CC3=CC=CC=C3)O2)C=C1Cl","-","M1021166","ZINC00915416","187","-","-","A27772","23131797","-","2","4.85","Log unit","4.85","Log unit","5.0","Log unit"
"CCOC1=CC=C(NC=C(S(=O)(=O)C2=CC=C(C)C=C2)S(=O)(=O)C2=CC=C(C)C=C2)C=C1","-","M1021179","ZINC00937066","189","-","-","A27772","23131797","-","2","5.64","Log unit","5.64","Log unit","5.0","Log unit"
"C(=N/N1C=NN=C1)\C1=CC=C(C=C1)N1N=C(C=C1C1=CC=CC=C1)C1=CC=CC=C1","-","M1021181","ZINC00937421","190","-","-","A27772","23131797","-","2","5.58","Log unit","5.58","Log unit","10.0","Log unit"
"O=C(CC1NC2=CC=CC=C2NC1=O)NC1=C(NC(=O)CC2NC3=C(NC2=O)C=CC=C3)C=CC=C1","-","M1239504","ZINC00944011","192","-","-","A27772","23131797","-","2","3.42","Log unit","3.42","Log unit","= 6.5","Log unit"
"CC1=C(C)C2=C(S1)N=C(SCC(=O)N1CCCC1)N(C1CCCCC1)C2=O","-","M1021204","ZINC00944678","193","-","-","A27772","23131797","-","2","5.16","Log unit","5.16","Log unit","5.0","Log unit"
"COC1=CC=CC(CN2C=C(N)C=N2)=C1","-","M1022755","ZINC02558386","194","-","-","A27772","23131797","-","2","1.55","Log unit","1.55","Log unit","= 7.3","Log unit"
"CN1N(C(=O)C(NC(=O)[C@@H]2CCCCN2S(=O)(=O)C2=CC=C(Cl)C=C2)=C1C)C1=CC=CC=C1","-","M1021231","ZINC00953339","195","-","-","A27772","23131797","-","2","3.89","Log unit","3.89","Log unit","5.0","Log unit"
"CS(=O)(=O)C1=CC=C(SCC(=O)OC2=CC=C(C=C2)C2CCCCC2)C(=C1)[N+]([O-])=O","-","M1153876","ZINC00959448","197","-","-","A27772","23131797","-","2","6.08","Log unit","6.08","Log unit","5.0","Log unit"
"COC1=CC=CC(OC)=C1C(=O)NC1=CC=C(C=C1)N1CCN(CC1)C(=O)C1=CC=CC=C1C","-","M1020892","ZINC00738600","199","-","-","A27772","23131797","-","2","4.16","Log unit","4.16","Log unit","= 7.3","Log unit"
"CC1=CC=CC(=C1)C(=O)NC1=CC=C(NC(=O)C2=CC=CC=C2)C(C)=C1","-","M1020230","ZINC00435005","201","-","-","A27772","23131797","-","2","4.14","Log unit","4.14","Log unit","5.0","Log unit"
"CC\C(=N/N=C1\S[C@@H](C)C(=O)N1CC1=CC=CO1)C1=CC=CC=C1","-","M3410238","ZINC04754751","210","-","-","A27772","23131797","-","2","5.07","Log unit","5.07","Log unit","= 6.5","Log unit"
"CN1N=CC(Cl)=C1C1=NC(=NO1)C1=NON=C1N","-","M1021291","ZINC00970310","211","-","-","A27772","23131797","-","2","2.77","Log unit","2.77","Log unit","5.0","Log unit"
"O=C1[C@H]2OC[C@H](O2)[C@@H]2[C@@H]3C[C@@H](C=C3)[C@H]12","-","M1021306","ZINC00974316","212","-","-","A27772","23131797","-","2","1.48","Log unit","1.48","Log unit","5.0","Log unit"
"CC1=C(C=C2C(=O)OC3(CCCCC3)OC2=O)C2=CC=CC=C2N1CC=C","-","M1021313","ZINC00977288","214","-","-","A27772","23131797","-","2","4.62","Log unit","4.62","Log unit","5.0","Log unit"
"COC1=CC=C(C=C1)N1C2=C(C(C3=CC=C4OCOC4=C3)C3=C1CC(C)(C)CC3=O)C(=O)CC(C)(C)C2","-","M1021323","ZINC00985518","215","-","-","A27772","23131797","-","2","5.72","Log unit","5.72","Log unit","5.0","Log unit"
"CCN1C=C(C2C3=C(CC(C)(C)CC3=O)N(C3=CC=C(C)C=C3)C3=C2C(=O)CC(C)(C)C3)C(C)=N1","-","M1021324","ZINC00985529","216","-","-","A27772","23131797","-","2","5.35","Log unit","5.35","Log unit","= 10.5","Log unit"
"O=C([C@H]1CCCO1)N1CCN(CC1)C(=S)NC1=CC=C(OC2=CC=CC=C2)C=C1","-","M1021327","ZINC00986515","217","-","-","A27772","23131797","-","2","4.18","Log unit","4.18","Log unit","= 6.5","Log unit"
"COC(=O)CC1=C(C(=O)OC)[C@]2(C(=O)NC3=CC=CC=C23)C(C(=O)OCC2=CC=CC=C2)=C(N)O1","-","M1021336","ZINC00989373","218","-","-","A27772","23131797","-","2","4.25","Log unit","4.25","Log unit","= 10.5","Log unit"
"C[C@@H]1C=CC[C@H]2[C@@H]1C(=O)N(C2=O)C1=CC=CC(=C1)C(=O)OCC(=O)C1=CC=C(Br)C=C1","-","M3410239","ZINC18247170","220","-","-","A27772","23131797","-","2","5.29","Log unit","5.29","Log unit","5.0","Log unit"
"COC1=CC=C(C=C1COCC(F)(F)F)[C@@H]1[C@@H]2CCCC=C2C(C#N)=C(N)C1(C#N)C#N","-","M1021352","ZINC00996595","221","-","-","A27772","23131797","-","2","5.5","Log unit","5.5","Log unit","5.0","Log unit"
"CCN(CC)C(=O)C1=C(C)C(C(=O)OC)=C(NC(=O)C2=CC(OC)=CC(OC)=C2)S1","-","M1021355","ZINC00997514","222","-","-","A27772","23131797","-","2","5.47","Log unit","5.47","Log unit","= 6.5","Log unit"
"FC(F)(F)[C@@H]1C[C@H](NC2=C(Br)C(=NN12)C(=O)N1CCCC1)C1=CC=CS1","-","M1021108","ZINC00865825","223","-","-","A27772","23131797","-","2","4.47","Log unit","4.47","Log unit","5.0","Log unit"
"CC1=NN(C(=O)C1SC1=C(C#N)C(C2=CC=C(C)C=C2)=C(C#N)C(N)=N1)C1=CC=CC=C1","-","M3410240","ZINC01010117","224","-","-","A27772","23131797","-","2","4.99","Log unit","4.99","Log unit","= 10.5","Log unit"
"CCC1=C(C#N)C(=O)N2C(N)=C(SC2=N1)C#N","-","M1021398","ZINC01016887","225","-","-","A27772","23131797","-","2","2.09","Log unit","2.09","Log unit","5.0","Log unit"
"CSC1=CC=C(C=C1)[C@@H]1[C@H]2[C@H](ON1C1=CC=CC=C1)C(=O)N(C2=O)C1=CC=CC(=C1)C(F)(F)F","-","M3410241","ZINC18154892","226","-","-","A27772","23131797","-","2","5.98","Log unit","5.98","Log unit","10.0","Log unit"
"O=C(NC1=CC(=CC=C1)C#C)C1=CC(=CC(=C1)N1C(=O)C2=CC=CC=C2C1=O)C(=O)NC1=CC=CC(=C1)C#C","-","M1021412","ZINC01022216","227","-","-","A27772","23131797","-","2","6.85","Log unit","6.85","Log unit","5.0","Log unit"
"CC1=CC=C(C)C(NC(=O)[C@H]2CC3C4=CC=CC=C4C2C2=C3C=CC=C2)=C1","-","M1153851","ZINC01022529","228","-","-","A27772","23131797","-","2","5.26","Log unit","5.26","Log unit","5.0","Log unit"
"FC1=CC=CC(F)=C1C(=O)N1CCCC1","-","M1018988","ZINC00035148","229","-","-","A27772","23131797","-","2","1.88","Log unit","1.88","Log unit","5.0","Log unit"
"C[C@@H](OC(=O)C1=CC=CC(=C1)C(F)(F)F)C(N)=O","-","M1023519","ZINC03298278","231","-","-","A27772","23131797","-","2","2.75","Log unit","2.75","Log unit","5.0","Log unit"
"CCOC(=O)C1=C(N)N(N=C1)C(=O)C1=C(N(N=C1)C1=CC=C(C=C1)[N+]([O-])=O)C(F)(F)F","-","M1153847","ZINC01027811","232","-","-","A27772","23131797","-","2","3.53","Log unit","3.53","Log unit","5.0","Log unit"
"FC(F)(F)C1=CN=C(C=C1)N1CCCN(CC1)C(=O)C1=CC2=CC=CC=C2S1","-","M1021434","ZINC04324659","233","-","-","A27772","23131797","-","2","4.92","Log unit","4.92","Log unit","= 10.5","Log unit"
"FC1=CC=C(C=C1)C(=O)COC1=NN=C(SCC(=O)C2=CC=C3OCCOC3=C2)N1C1CC2=CC=CC=C2C1","-","M1021436","ZINC01034232","234","-","-","A27772","23131797","-","2","5.47","Log unit","5.47","Log unit","= 6.5","Log unit"
"CC1=CC=C(C=C1)N1CC(=O)N(CC1=O)\N=C\C1=CN(N=C1C1=CC=C(Cl)C=C1)C1=CC=CC=C1","-","M1021439","ZINC01036174","235","-","-","A27772","23131797","-","2","6.14","Log unit","6.14","Log unit","= 6.5","Log unit"
"CSC1=NN2C(N=C(SC)C(C#N)=C2C2=CC=C(Cl)C=C2)=C1C#N","-","M1021443","ZINC01037611","237","-","-","A27772","23131797","-","2","5.51","Log unit","5.51","Log unit","5.0","Log unit"
"CSC1=C2C(=C(S1)C(=O)N1CCOCC1)C1=CC=CC=C1N(C)S2(=O)=O","-","M1021444","ZINC01038169","238","-","-","A27772","23131797","-","2","3.11","Log unit","3.11","Log unit","5.0","Log unit"
"CC1=CC=CC(NC(=O)CSC2=CC=CC=N2)=C1C","-","M1018973","ZINC00031483","239","-","-","A27772","23131797","-","2","3.19","Log unit","3.19","Log unit","= 7.3","Log unit"
"CSC1=C2C(CCC3=C2N=C(SC)N=C3)=C(S1)C(=O)NC1=CC=C(Cl)C=C1","-","M1021446","ZINC01038287","240","-","-","A27772","23131797","-","2","5.87","Log unit","5.87","Log unit","= 7.3","Log unit"
"CCOC(=O)C1=C(NC2=CC=C(OC(=O)NC3=CC=C(OC(F)(F)F)C=C3)C=C2)C(=O)N(C1)C(C)(C)C","-","M1021448","ZINC01038638","242","-","-","A27772","23131797","-","2","6.72","Log unit","6.72","Log unit","5.0","Log unit"
"CN1C(SCC2=CC(F)=CC(F)=C2)=NN=C1C1=CC2=NON=C2C=C1","-","M1021449","ZINC01040115","243","-","-","A27772","23131797","-","2","3.68","Log unit","3.68","Log unit","= 7.3","Log unit"
"COC1=C(OC)C=C2C(CCN3C(=O)OC4(CCCCC4)[C@@]23C)=C1","-","M1019106","ZINC00052373","244","-","-","A27772","23131797","-","2","3.47","Log unit","3.47","Log unit","5.0","Log unit"
"CC1=C(C)C[C@H]2[C@H](C1)C(=O)N(C2=O)C1=CC=CC(Br)=C1","-","M3410242","ZINC16247975","245","-","-","A27772","23131797","-","2","3.93","Log unit","3.93","Log unit","5.0","Log unit"
"O=C(N1CCN(CC1)S(=O)(=O)C1=CC=CC=C1)C1=CC=CN=C1","-","M1019453","ZINC00115579","246","-","-","A27772","23131797","-","2","2.3","Log unit","2.3","Log unit","= 7.3","Log unit"
"CCC1=CC=C2N=C3C(=CC2=C1)C(=O)N(C1=CC=CC=C1)C1=C3C(=O)N(C)C(=O)N1C","-","M1021458","ZINC01042205","247","-","-","A27772","23131797","-","2","4.31","Log unit","4.31","Log unit","= 10.5","Log unit"
"CCOC(=O)C1=C(C)NC(=O)N[C@H]1C1=CC=C(O1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F","-","M1153844","ZINC01042477","248","-","-","A27772","23131797","-","2","6.04","Log unit","6.04","Log unit","5.0","Log unit"
"FC(F)(F)C1=NC(=NO1)C1=CC=C(C=C1)C1=NOC(=N1)C(F)(F)F","-","M1021464","ZINC01043629","250","-","-","A27772","23131797","-","2","6.06","Log unit","6.06","Log unit","5.0","Log unit"
"CC1=NN(C(C)=C1C1=NN=C(O1)C1=C(C)N(N=C1C)C1=CC=CC=C1)C1=CC=CC=C1","-","M1021465","ZINC01043630","251","-","-","A27772","23131797","-","2","5.56","Log unit","5.56","Log unit","= 6.5","Log unit"
"CC1=NN(C(C)=C1)C1=CC=C(C=C1)N1C=CC=C1\C=C(/C#N)S(C)(=O)=O","-","M3410244","ZINC01043645","252","-","-","A27772","23131797","-","2","4.25","Log unit","4.25","Log unit","= 7.3","Log unit"
"IC1=CC=C(NC(=O)\C=C\C2=CC=CS2)C=C1","-","M1797559","ZINC01112071","253","-","-","A27772","23131797","-","2","4.67","Log unit","4.67","Log unit","= 2.0","Log unit"
"CC(C)(C)C1=NN(CC2=CC=CC=C2)C(=C1)C1=NC(=NO1)C1=CC=C(C=N1)C(F)(F)F","-","M1021473","ZINC01047054","255","-","-","A27772","23131797","-","2","6.58","Log unit","6.58","Log unit","= 10.5","Log unit"
"FC(F)(F)C1=CC=C(C=C1)N1C=C2C=CC=CC2=N1","-","M1021333","ZINC00988163","256","-","-","A27772","23131797","-","2","4.42","Log unit","4.42","Log unit","5.0","Log unit"
"CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)N1CC[C@H]2N(C1)C(=O)C1=CC=CC=C21","-","M1021476","ZINC01048063","257","-","-","A27772","23131797","-","2","4.55","Log unit","4.55","Log unit","5.0","Log unit"
"C[C@H]1CN(C[C@@H](C)O1)C(=N)NS(=O)(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F","-","M1021479","ZINC01048892","259","-","-","A27772","23131797","-","2","4.43","Log unit","4.43","Log unit","5.0","Log unit"
"CC1=NN(C(C)=C1)C1=NCCN1S(=O)(=O)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F","-","M1021480","ZINC01048957","260","-","-","A27772","23131797","-","2","4.7","Log unit","4.7","Log unit","= 10.5","Log unit"
"COC1=CC=C(C=C1)N(C(=O)C1CCCCC1)S(=O)(=O)C1=C2C=CC=C3C(=O)N(C)C(C=C1)=C23","-","M1021489","ZINC01052739","262","-","-","A27772","23131797","-","2","5.26","Log unit","5.26","Log unit","5.0","Log unit"
"N1C2NC3=NON=C3NC2NC2=NON=C12","-","M1153840","ZINC01055318","263","-","-","A27772","23131797","-","2","0.3","Log unit","0.3","Log unit","= 7.3","Log unit"
"COC1=CC(\C=C(/NC(=O)C2=CC=CC=C2)C(=O)NC2=CC=CC(CO)=C2)=CC=C1OC(C)=O","-","M1021495","ZINC03180157","264","-","-","A27772","23131797","-","2","4.04","Log unit","4.04","Log unit","= 6.5","Log unit"
"COC1=CC=CC(NC(=O)CSC2=NN=C3C=CC=CN23)=C1","-","M847257","ZINC00102777","265","-","-","A27772","23131797","-","2","2.45","Log unit","2.45","Log unit","= 7.3","Log unit"
"NC1=C(C#N)C2=CCSC[C@H]2[C@H](C2=CC=CC=C2Cl)C1(C#N)C#N","-","M1021511","ZINC01061488","266","-","-","A27772","23131797","-","2","4.5","Log unit","4.5","Log unit","5.0","Log unit"
"CC[C@@H]1CCCCN1C(=O)[C@H]1CC(=NO1)C1=CC(Cl)=C(OC)C=C1OC","-","M1153837","ZINC01062339","267","-","-","A27772","23131797","-","2","4.55","Log unit","4.55","Log unit","10.0","Log unit"
"CCC1=CC=C(C=C1)N1[C@H]2CS(=O)(=O)C[C@@H]2N(CC=C)C1=S","-","M1021521","ZINC01064005","268","-","-","A27772","23131797","-","2","2.86","Log unit","2.86","Log unit","5.0","Log unit"
"O=C1[C@H]2[C@H](C3C4=CC=CC=C4C2C2=CC=CC=C32)C(=O)N1C1=NC=CS1","-","M3410246","ZINC18213338","269","-","-","A27772","23131797","-","2","3.83","Log unit","3.83","Log unit","10.0","Log unit"
"FC1=CC(=CC=C1N1CCN(CC1)C(=O)C1=C(F)C=CC=C1F)C(=O)C1=CC=CC=C1","-","M1021532","ZINC01067979","270","-","-","A27772","23131797","-","2","5.14","Log unit","5.14","Log unit","= 7.3","Log unit"
"CC1=CC=CC(C)=C1NC(=O)CSC1=NN=NN1C1=CC=C(OC(F)(F)F)C=C1","-","M1021548","ZINC01074103","272","-","-","A27772","23131797","-","2","4.82","Log unit","4.82","Log unit","5.0","Log unit"
"COC1=CC=CC2=C1N(C(=O)CC(C)C)C(C)(C)C1=C2C(=S)SS1","-","M1021549","ZINC01074408","273","-","-","A27772","23131797","-","2","5.09","Log unit","5.09","Log unit","5.0","Log unit"
"CN(C)C1=C2SC(=S)N(C2=NC(C)=N1)C1=CC=CC=C1","-","M1021553","ZINC01075720","274","-","-","A27772","23131797","-","2","3.62","Log unit","3.62","Log unit","= 10.5","Log unit"
"CCOC(=O)C1=C2S[C@@H](C)C(=O)N2C(N)=C([C@@H]1C1=CC=C(Cl)C=C1Cl)C(=O)OCC","-","M1021556","ZINC01076516","275","-","-","A27772","23131797","-","2","5.49","Log unit","5.49","Log unit","10.0","Log unit"
"COC1=CC=C(CCNC(=O)CSC2=NC3=C(N2CC2=CC=CC=C2F)C(=O)N(C)C(=O)N3C)C=C1OC","-","M1021567","ZINC01078468","276","-","-","A27772","23131797","-","2","4.0","Log unit","4.0","Log unit","5.0","Log unit"
"CCOC(=O)C1CCN(CC1)S(=O)(=O)C1=NN2C(=N1)N=C(C)C=C2C","-","M1021588","ZINC01087888","278","-","-","A27772","23131797","-","2","2.71","Log unit","2.71","Log unit","= 7.3","Log unit"
"CC1=CC=C(N[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]2O)C=C1Br","-","M1021595","ZINC01089589","280","-","-","A27772","23131797","-","2","2.28","Log unit","2.28","Log unit","7.0","Log unit"
"COC1=CC=C(C=C1)S(=O)(=O)N1C(=O)N(C2=CC=CC=C12)S(=O)(=O)C1=CC=C(OC)C=C1","-","M1021597","ZINC01089649","281","-","-","A27772","23131797","-","2","5.22","Log unit","5.22","Log unit","5.0","Log unit"
"CN1C(=O)N(C)C2(N=C3S\C(=C/C4=CC=C(Br)C=C4)C(=O)N3NC12C1=CC=CC=C1)C1=CC=CC=C1","-","M3410247","ZINC01060140","282","-","-","A27772","23131797","-","2","5.72","Log unit","5.72","Log unit","= 10.5","Log unit"
"O=C(CN1N(CC(=O)N2CCCCC2)C(=O)N(C1=O)C1=CC=CC=C1)N1CCCCC1","-","M1021625","ZINC01102279","284","-","-","A27772","23131797","-","2","2.78","Log unit","2.78","Log unit","5.0","Log unit"
"O=C1N(C[C@H]2CCCO2)C(=S)S\C1=C/C1=C(SC2=CC=CC=C2)N=C2C=CC=CN2C1=O","-","M1021629","ZINC01103619","285","-","-","A27772","23131797","-","2","5.87","Log unit","5.87","Log unit","5.0","Log unit"
"COC(=O)C1=CC(=CC=C1Cl)N1C(=O)[C@@H]2[C@@H]3O[C@](C=C3)(C(OC(C)=O)OC(C)=O)[C@@H]2C1=O","-","M1021636","ZINC01105326","287","-","-","A27772","23131797","-","2","3.77","Log unit","3.77","Log unit","= 6.5","Log unit"
"CC[C@@H](NS(=O)(=O)C1=CC=C(C)C=C1)C(=O)OC1=CC=C2C(OC(=O)C3=C2CCCC3)=C1","-","M1021644","ZINC01107975","288","-","-","A27772","23131797","-","2","3.08","Log unit","3.08","Log unit","= 2.0","Log unit"
"COC1=CC(=CC(OC)=C1OC(C)=O)[C@@H]1NC2=C(NC3=C1C(=O)CC(C)(C)C3)C=C(C)C(C)=C2","-","M3410248","ZINC09313347","289","-","-","A27772","23131797","-","2","4.21","Log unit","4.21","Log unit","10.0","Log unit"
"COC1=CC2=C3N(C(=O)\C(=C4/SC(NC(C)=O)=NC4=O)C3=C1)C(C)(C)C=C2C","-","M1981119","ZINC18266455","290","-","-","A27772","23131797","-","2","4.62","Log unit","4.62","Log unit","7.0","Log unit"
"CC1=C(C(C2=CC=CS2)C2=C(O)CCCC2=N1)C(=O)N1CCCCC1","-","M3410249","ZINC01125223","291","-","-","A27772","23131797","-","2","3.37","Log unit","3.37","Log unit","6.0","Log unit"
"COC1=CC=C(C=C1COC1=CC=C(NC(C)=O)C=C1)[C@@H]1NC2=CC=CC=C2C(=O)N1C1=CC=CC=C1","-","M1021874","ZINC01239456","292","-","-","A27772","23131797","-","2","4.65","Log unit","4.65","Log unit","= 8.0","Log unit"
"CCCCC(=O)NC1C2CC3CC(C2)CC1C3","-","M1153688","ZINC02065666","293","-","-","A27772","23131797","-","2","3.8","Log unit","3.8","Log unit","5.0","Log unit"
"CC1=NC2=C([C@@H](C1C(=O)OCCC1=CC=CC=C1)C1=CC=C(Cl)C=C1)C(=O)CCC2","-","M1153929","ZINC00844246","294","-","-","A27772","23131797","-","2","5.48","Log unit","5.48","Log unit","= 7.3","Log unit"
"CC(=O)C1=CC(=CC=C1)N1C(=O)[C@H]2[C@H]3C=C[C@@H]([C@H]2C1=O)C3=C(C1=CC=C(C)C=C1)C1=CC=C(C)C=C1","-","M1021682","ZINC01132042","295","-","-","A27772","23131797","-","2","6.25","Log unit","6.25","Log unit","5.0","Log unit"
"[O-][N+](=O)C1=CC(=CC=C1OCC(=O)NC1=CC=CC=C1Br)C(F)(F)F","-","M1153833","ZINC01066443","296","-","-","A27772","23131797","-","2","5.16","Log unit","5.16","Log unit","5.0","Log unit"
"CCOC(=O)C1=C(C)N=C(SC[C@@]2(O)CCCC[C@@H]2SC)C(C#N)=C1C1=CC=CC=C1","-","M1021689","ZINC01134578","297","-","-","A27772","23131797","-","2","6.01","Log unit","6.01","Log unit","5.0","Log unit"
"CC1=C(OC2=CC=C(F)C=C12)C(=O)NC1=CC=C(C=C1)S(=O)(=O)N1CCCCCC1","-","M1021488","ZINC01051722","298","-","-","A27772","23131797","-","2","5.68","Log unit","5.68","Log unit","5.0","Log unit"
"COC(=O)C1=CC=C(C=C1)[C@H]1N(C(=O)C2CC2)C2=CC=CC=C2NC2=C1C(=O)C[C@H](C2)C1=CC=CO1","-","M3410250","ZINC01456961","299","-","-","A27772","23131797","-","2","4.44","Log unit","4.44","Log unit","5.0","Log unit"
"NC(=O)CSC1=NC2=C(C(=O)N1CC1=CC=CO1)C1(CCCCC1)CC1=CC=CC=C21","-","M1021713","ZINC01150180","300","-","-","A27772","23131797","-","2","5.45","Log unit","5.45","Log unit","= 7.3","Log unit"
"FC1=CC=C(C=C1)C(=O)COC(=O)C1=CC(=CC=C1)N1C(=O)C2=CC=CC=C2C1=O","-","M1021344","ZINC00991867","301","-","-","A27772","23131797","-","2","4.68","Log unit","4.68","Log unit","5.0","Log unit"
"CC1=NC=CN1S(=O)(=O)C1=CC=C(Cl)C=C1","-","M1019100","ZINC00051416","302","-","-","A27772","23131797","-","2","2.93","Log unit","2.93","Log unit","= 7.3","Log unit"
"NC(=O)C1=C(C=CC(=C1)N1C(=O)[C@H]2CC=CC[C@@H]2C1=O)N1CCCCC1","-","M3410251","ZINC13154025","304","-","-","A27772","23131797","-","2","3.68","Log unit","3.68","Log unit","10.0","Log unit"
"CC(=O)OC1=CC=C(C=C1)C(=O)NC1=CC(=CC=C1)C(=O)C1=CC(NC(=O)C2=CC=C(OC(C)=O)C=C2)=CC=C1","-","M1021781","ZINC01187392","306","-","-","A27772","23131797","-","2","5.34","Log unit","5.34","Log unit","5.0","Log unit"
"CC1=CC=C(C=C1)N1[C@@H](NC2=CC=CC=C2C1=O)C1=CC=CC(=C1)[N+]([O-])=O","-","M1153960","ZINC00766498","307","-","-","A27772","23131797","-","2","4.18","Log unit","4.18","Log unit","5.0","Log unit"
"[O-][N+](=O)C1=CC(\C=N\N2C(=O)C3=CC=CC=C3C2=O)=C(Cl)C=C1","-","M3410252","ZINC00160197","309","-","-","A27772","23131797","-","2","4.03","Log unit","4.03","Log unit","5.0","Log unit"
"CC1=CC=C(NC(=O)C2=CC=C(C=C2)S(=O)(=O)N2CCOCC2)C(=C1)C(=O)C1=CC=CC=C1","-","M1021795","ZINC01196712","310","-","-","A27772","23131797","-","2","4.54","Log unit","4.54","Log unit","5.0","Log unit"
"CC(=O)C1=C(C)NC(SCC(=O)C2=CC=C(Cl)C=C2Cl)=C(C#N)[C@@H]1C1=CC=CS1","-","M3410253","ZINC16676346","311","-","-","A27772","23131797","-","2","5.25","Log unit","5.25","Log unit","= 10.5","Log unit"
